
SA5698PO,retail,110,tienda-C,casa-C,1,2020-10-18 00:00
SA5897AS,retail,95,tienda-A,casa-D,2,2020-10-18 00:00
SA5713AS,retail,20,tienda-B,casa-C,1,2020-10-18 00:00
SA2589TR,retail,5,tienda-C,casa-P,2,2020-10-18 00:00
SA2563AS,retail,15,tienda-A,casa-N,1,2020-10-18 00:00
SA3698HJ,retail,25,tienda-C,casa-A,2,2020-10-18 00:00
SA6947GH,retail,50,tienda-C,casa-C,1,2020-10-18 00:00
SA5588HJ,retail,25,tienda-C,casa-E,1,2020-10-18 00:00
SA2596NH,retail,90,tienda-A,casa-S,1,2020-10-18 00:00
SA7748JK,retail,115,tienda-B,casa-A,2,2020-10-18 00:00
PF225,prioritario,25,pyme,casa-P,1,2020-10-18 00:00
PF111,prioritario,10,pyme,casa-N,1,2020-10-18 00:00
DE245,prioritario,18,pyme,casa-Y,1,2020-10-18 00:00
CC147,prioritario,11,pyme,casa-C,1,2020-10-18 00:00
SA5897AS,retail,95,tienda-A,casa-D,1,2020-10-18 00:00
SA5698PO,retail,110,tienda-C,casa-C,2,2020-10-18 00:00
SA5713AS,retail,20,tienda-B,casa-C,1,2020-10-18 00:00
SA2589TR,retail,5,tienda-C,casa-P,2,2020-10-18 00:00
SA3698HJ,retail,25,tienda-C,casa-A,1,2020-10-18 00:00
SA2563AS,retail,15,tienda-A,casa-N,1,2020-10-18 00:00
SA6947GH,retail,50,tienda-C,casa-C,1,2020-10-18 00:00
SA5588HJ,retail,25,tienda-C,casa-E,1,2020-10-18 00:00
SA7748JK,retail,115,tienda-B,casa-A,1,2020-10-18 00:00
SA2596NH,retail,90,tienda-A,casa-S,1,2020-10-18 00:00
CC147,prioritario,14,pyme,casa-C,1,2020-10-18 00:00
CC175,prioritario,6,pyme,casa-A,1,2020-10-18 00:00
SA5698PO,retail,110,tienda-C,casa-C,1,2020-10-18 00:00
SA5897AS,retail,95,tienda-A,casa-D,1,2020-10-18 00:00
SA5713AS,retail,20,tienda-B,casa-C,2,2020-10-18 00:00
SA2589TR,retail,5,tienda-C,casa-P,2,2020-10-18 00:00
SA3698HJ,retail,25,tienda-C,casa-A,1,2020-10-18 00:00
SA2563AS,retail,15,tienda-A,casa-N,2,2020-10-18 00:00
SA6947GH,retail,50,tienda-C,casa-C,1,2020-10-18 00:00
SA5588HJ,retail,25,tienda-C,casa-E,1,2020-10-18 00:00
SA7748JK,retail,115,tienda-B,casa-A,1,2020-10-18 00:00
SA2596NH,retail,90,tienda-A,casa-S,2,2020-10-18 00:00
SA1684AH,retail,12,tienda-B,casa-B,1,2020-10-18 00:00
SA5698PO,retail,110,tienda-C,casa-C,3,2020-10-18 00:00
SA5713AS,retail,20,tienda-B,casa-C,1,2020-10-18 00:00
SA8859SS,retail,15,tienda-C,casa-A,1,2020-10-18 00:00
SA3574FG,retail,120,tienda-B,casa-U,1,2020-10-18 00:00
SA3698HJ,retail,25,tienda-C,casa-A,1,2020-10-18 00:00
SA5648AA,retail,80,tienda-B,casa-A,1,2020-10-18 00:00
SA6947GH,retail,50,tienda-C,casa-C,1,2020-10-18 00:00
SA5974AA,retail,105,tienda-C,casa-C,1,2020-10-18 00:00
SA2596NH,retail,90,tienda-A,casa-S,2,2020-10-18 00:00
