
SA1684AH,retail,12,tienda-B,casa-B,1,2020-10-18 00:00
SA1554KF,retail,10,tienda-A,casa-A,1,2020-10-18 00:00
SA1589GD,retail,100,tienda-B,casa-Q,1,2020-10-18 00:00
SA8859SS,retail,15,tienda-C,casa-A,1,2020-10-18 00:00
SA3574FG,retail,120,tienda-B,casa-U,1,2020-10-18 00:00
SA1597EF,retail,20,tienda-A,casa-F,1,2020-10-18 00:00
SA5648AA,retail,80,tienda-B,casa-A,1,2020-10-18 00:00
SA1937JH,retail,6,tienda-C,casa-N,1,2020-10-18 00:00
SA5974AA,retail,105,tienda-C,casa-C,1,2020-10-18 00:00
SA6644DS,retail,30,tienda-A,casa-A,1,2020-10-18 00:00
BE785,prioritario,8,pyme,casa-E,1,2020-10-18 00:00
PF654,prioritario,50,pyme,casa-B,2,2020-10-18 00:00
DE786,prioritario,15,pyme,casa-Z,1,2020-10-18 00:00
DE654,prioritario,11,pyme,casa-V,1,2020-10-18 00:00
GG458,prioritario,3,pyme,casa-C,1,2020-10-18 00:00
SA1554KF,retail,10,tienda-A,casa-A,1,2020-10-18 00:00
SA1684AH,retail,12,tienda-B,casa-B,2,2020-10-18 00:00
SA1589GD,retail,100,tienda-B,casa-Q,1,2020-10-18 00:00
SA8859SS,retail,15,tienda-C,casa-A,3,2020-10-18 00:00
SA3574FG,retail,120,tienda-B,casa-U,1,2020-10-18 00:00
SA1597EF,retail,20,tienda-A,casa-F,1,2020-10-18 00:00
SA1937JH,retail,6,tienda-C,casa-N,1,2020-10-18 00:00
SA5648AA,retail,80,tienda-B,casa-A,2,2020-10-18 00:00
SA5974AA,retail,105,tienda-C,casa-C,1,2020-10-18 00:00
SA6644DS,retail,30,tienda-A,casa-A,1,2020-10-18 00:00
DE245,prioritario,18,pyme,casa-Y,1,2020-10-18 00:00
CC147,prioritario,11,pyme,casa-C,1,2020-10-18 00:00
SA1684AH,retail,12,tienda-B,casa-B,1,2020-10-18 00:00
SA1554KF,retail,10,tienda-A,casa-A,1,2020-10-18 00:00
SA1589GD,retail,100,tienda-B,casa-Q,1,2020-10-18 00:00
SA8859SS,retail,15,tienda-C,casa-A,2,2020-10-18 00:00
SA3574FG,retail,120,tienda-B,casa-U,1,2020-10-18 00:00
SA1597EF,retail,20,tienda-A,casa-F,2,2020-10-18 00:00
SA1937JH,retail,6,tienda-C,casa-N,1,2020-10-18 00:00
SA5648AA,retail,80,tienda-B,casa-A,2,2020-10-18 00:00
SA5974AA,retail,105,tienda-C,casa-C,1,2020-10-18 00:00
SA6644DS,retail,30,tienda-A,casa-A,1,2020-10-18 00:00
SA1554KF,retail,10,tienda-A,casa-A,1,2020-10-18 00:00
SA1589GD,retail,100,tienda-B,casa-Q,1,2020-10-18 00:00
SA5897AS,retail,95,tienda-A,casa-D,2,2020-10-18 00:00
SA1597EF,retail,20,tienda-A,casa-F,1,2020-10-18 00:00
SA2589TR,retail,5,tienda-C,casa-P,1,2020-10-18 00:00
SA2563AS,retail,15,tienda-A,casa-N,1,2020-10-18 00:00
SA1937JH,retail,6,tienda-C,casa-N,2,2020-10-18 00:00
SA6644DS,retail,30,tienda-A,casa-A,1,2020-10-18 00:00
SA5588HJ,retail,25,tienda-C,casa-E,1,2020-10-18 00:00
SA7748JK,retail,115,tienda-B,casa-A,1,2020-10-18 00:00
