
2020-10-18 00:00,SA1554KF,retail,Polera,10,tienda-A,casa-A,1
2020-10-18 00:00,SA1684AH,retail,Pantalón,12,tienda-B,casa-B,2
2020-10-18 00:00,SA5698PO,retail,Televisor,110,tienda-C,casa-C,3
2020-10-18 00:00,SA5897AS,retail,Consola de Videojuegos,95,tienda-A,casa-D,4
2020-10-18 00:00,SA1589GD,retail,Lavadora,100,tienda-B,casa-Q,5
2020-10-18 00:00,SA8859SS,retail,Polerón,15,tienda-C,casa-A,6
2020-10-18 00:00,SA5713AS,retail,Parca,20,tienda-B,casa-C,7
2020-10-18 00:00,SA2589TR,retail,Pelota,5,tienda-C,casa-P,8
2020-10-18 00:00,SA1597EF,retail,Raqueta,20,tienda-A,casa-F,9
2020-10-18 00:00,SA3574FG,retail,Refrigerador,120,tienda-B,casa-U,10
2020-10-18 00:00,SA3698HJ,retail,Tostador,25,tienda-C,casa-A,11
2020-10-18 00:00,SA2563AS,retail,Perfume,15,tienda-A,casa-N,12
2020-10-18 00:00,SA1937JH,retail,Tobillera,6,tienda-C,casa-N,13
2020-10-18 00:00,SA5648AA,retail,Notebook,80,tienda-B,casa-A,14
2020-10-18 00:00,SA6947GH,retail,Set de ollas,50,tienda-C,casa-C,15
2020-10-18 00:00,SA5588HJ,retail,Parlante,25,tienda-C,casa-E,16
2020-10-18 00:00,SA6644DS,retail,Lampara,30,tienda-A,casa-A,17
2020-10-18 00:00,SA5974AA,retail,Sillón,105,tienda-C,casa-C,18
2020-10-18 00:00,SA2596NH,retail,Mesa,90,tienda-A,casa-S,19
2020-10-18 00:00,SA7748JK,retail,Cama,115,tienda-B,casa-A,20
2020-10-18 00:00,BE127,prioritario,Secador de pelo,15,pyme,casa-K,21
2020-10-18 00:00,BE666,prioritario,Jabón para la ducha,8,pyme,casa-A,22
2020-10-18 00:00,BE855,normal,Acondicionador,10,pyme,casa-A,23
2020-10-18 00:00,BE654,normal,Shampoo,10,pyme,casa-D,24
2020-10-18 00:00,BE785,prioritario,Crema para peinar,8,pyme,casa-E,25
2020-10-18 00:00,PF654,prioritario,Placa madre,50,pyme,casa-B,26
2020-10-18 00:00,PF125,normal,Procesador R,75,pyme,casa-N,27
2020-10-18 00:00,PF111,prioritario,Ventilador,10,pyme,casa-N,28
