
BE127,prioritario,15,pyme,casa-K,1,2020-10-18 00:00
BE666,prioritario,8,pyme,casa-A,1,2020-10-18 00:00
PF452,prioritario,115,pyme,casa-I,1,2020-10-18 00:00
OF352,prioritario,9,pyme,casa-C,1,2020-10-18 00:00
CC147,prioritario,14,pyme,casa-C,1,2020-10-18 00:00
CC175,prioritario,6,pyme,casa-A,1,2020-10-18 00:00
BE654,normal,10,pyme,casa-D,1,2020-10-18 00:00
BE855,normal,10,pyme,casa-A,1,2020-10-18 00:00
PF125,normal,75,pyme,casa-N,1,2020-10-18 00:00
PF245,normal,20,pyme,casa-S,1,2020-10-18 00:00
PF542,normal,90,pyme,casa-N,1,2020-10-18 00:00
PF354,normal,22,pyme,casa-R,1,2020-10-18 00:00
OF754,normal,5,pyme,casa-C,1,2020-10-18 00:00
OF554,normal,4,pyme,casa-I,1,2020-10-18 00:00
DE123,normal,16,pyme,casa-E,1,2020-10-18 00:00
CC122,normal,9,pyme,casa-F,1,2020-10-18 00:00
CC124,normal,17,pyme,casa-U,1,2020-10-18 00:00
CC121,normal,16,pyme,casa-X,1,2020-10-18 00:00
CC121,normal,10,pyme,casa-A,1,2020-10-18 00:00
CC454,normal,7,pyme,casa-Q,1,2020-10-18 00:00
GG124,normal,5,pyme,casa-A,1,2020-10-18 00:00
GG257,normal,4,pyme,casa-B,1,2020-10-18 00:00
GG301,normal,6,pyme,casa-D,1,2020-10-18 00:00
GG568,normal,5,pyme,casa-L,1,2020-10-18 00:00
BE127,prioritario,15,pyme,casa-K,1,2020-10-18 00:00
BE666,prioritario,8,pyme,casa-A,1,2020-10-18 00:00
PF654,prioritario,50,pyme,casa-B,1,2020-10-18 00:00
BE785,prioritario,8,pyme,casa-E,1,2020-10-18 00:00
PF225,prioritario,25,pyme,casa-P,1,2020-10-18 00:00
PF111,prioritario,10,pyme,casa-N,1,2020-10-18 00:00
OF352,prioritario,9,pyme,casa-C,1,2020-10-18 00:00
PF452,prioritario,115,pyme,casa-I,2,2020-10-18 00:00
DE786,prioritario,15,pyme,casa-Z,1,2020-10-18 00:00
DE654,prioritario,11,pyme,casa-V,2,2020-10-18 00:00
BE855,normal,10,pyme,casa-A,1,2020-10-18 00:00
GG458,prioritario,3,pyme,casa-C,1,2020-10-18 00:00
PF125,normal,75,pyme,casa-N,1,2020-10-18 00:00
BE654,normal,10,pyme,casa-D,1,2020-10-18 00:00
PF354,normal,22,pyme,casa-R,2,2020-10-18 00:00
PF245,normal,20,pyme,casa-S,2,2020-10-18 00:00
